Timestamp,"Q1. Abstract ID (MA1, MA2 etc.)",Q2. Screener ID,Q3. Study Type,Q4. Interaction type,Q5. Ecological scale of the interaction,"Q6. Interacting species, scientific name(s)",Q7. What trait influences the quality of the interaction? (e.g. behavioural phenotype),Q8. In which species does the trait vary?,Q9. Is anything know about the genetic basis or heritability of the trait? (focusing on information provided by the paper only),"Q11. In what scale does the interaction shift between mutualistic and antagonistic (e.g. does the trait variation lead to individuals, populations or species varying along this continuum)",Q10. Does the study show a shift in the interaction between mutualism-antagonism?,Q12. What is the direction of shift?,"Q13. What factors are driving that shift? (e.g. ecological, abiotic, social)","Q14. What is the ecological impact of the interaction and shift of that interaction? (i.e. what ecological processes may be effected, focusing on information provided by the paper)",Q15. Is there a connection to the NC3? (e.g. the promotion and maintenance of individual-level traits or niche variation),Q17. Additional notes (include any points of significance that are not included in this questionnaire),"Q16. Do you have any outstanding concerns or questions about the paper (e.g. is there no clear trait that appears to vary, is there no clear shift in the interaction between mutualism and antagonism)",Q18. Do you think this paper can be included within the review (on the basis of our inclusion/exclusion criteria)?,"Q19. If No/Maybe, why?",,,,,,,
2/15/2020 10:40:24,MA4,KJB,Perspective/Review,Competition-cooperation,Intra-specific (within population),NA,NA,NA,NA,"Individuals, Populations",NA,Antagonistic to mutualistic,NA,NA,Not really,"The paper is basically proposing a framework for classifying mechanisms that allow for the maintenance of cooperation (and the avoidance of cheaters). However, variation is not a specific class in the framework, although partner choice might be related to variation (it makes no sense to choose if there is no variation).",NA,Maybe,There is no evidence of trait variation,,,,,,,
2/25/2020 2:31:23,MA74,JK,Experimental,Host-symbiont,Inter-specific (2 species),"Tetranychus urticae, T. turkestani; Wolbachia",genetic strains,Tetranychus urticae,Wsp sequence in Wolbachia,host and Wolbachia strains,only antagonism - neutral,antagonistic to neutral,genetic,sex ratio,rather not,NA,no shift to mutualism,Maybe,"There is no shift in the quality of the interaction, only if we include antagonism - neutral",,,,,,,
2/25/2020 8:54:58,MA94,JK,Observational,Host-symbiont,Inter-specific (>2 species),"Sylvia atricapilla, Proctophyllodes sylviae and Trouessartia bifurcata",host migratory phenotype,Sylvia atricapilla,no,,"no, only antagonism",,NA,NA,no,NA,no shift,No,There is no shift in the quality of the interaction,,,,,,,
2/25/2020 9:06:43,MA112,JK,Observational,Host-symbiont,Inter-specific (>2 species),cidaroids (echinoids) and sessile species,presence of cidaroids as biotic substrate,NA,no,,no,,NA,species diversity,no,NA,no shift ,No,There is no shift in the quality of the interaction,,,,,,,
2/25/2020 10:00:52,MA123,JK,Modelling/theory,Host-symbiont,Inter-specific (>2 species),Wolbachia and host,Frequency of Wolbachia strain in population,host,NA,Individuals,yes,Antagonistic to mutualistic,"shift to mutualism at high frequency of W. in pop., carrying a common strain of W. (or several) ",persistence of multiple infections,"potentially yes (fitness depends on population frequency of W.), could e.g. promote niche choice",NA,NA,Maybe,not sure if we would like to include studies on Wolbachia?,,,,,,,
2/25/2020 10:19:52,MA181,JK,Observational,"Host-symbiont, Competition-cooperation",Inter-specific (>2 species),"Apis mellifera, Lotmaria passim, Nosema ceranae",presence of the other parasite species in host individual," Lotmaria passim, Nosema ceranae",no,Individuals,no (hypothesised but not found),interaction between 2 species of parasites in host (expected: from competition to mutualism),"not found, but could e.g. be host condition","it could be relevant for host survival, epidemics","yes: niche of parasite inside host depends on presence of other parasites (could e.g. lead to niche choice, i.e. host choice)",NA,"interaction not found, positive correlation between parasite loads interpreted as driven by host condition",Maybe,"no traits that vary, just presence/absence of parasite species",,,,,,,
2/26/2020 7:54:01,MA220,JK,Observational,"Competition-cooperation, Consumer-resource/predator-prey",Inter-specific (>2 species),"Tanacetum vulgare, diverse species in arthropod food web",plant chemotypes,Tanacetum vulgare,chemotype has a genetic basis,Species,rather not,plant food web structure change due to plant chemotype,genetic differences of plant,impact on food web,plant chemotype influences niches of species of plant food web,NA,not sure we want to include community ecology studies,Maybe,"plant chemotype influences interactions of species, but no obvious evidence for shift in quality of interaction",,,,,,,
2/26/2020 8:20:01,MA224,JK,Experimental,Competition-cooperation,Inter-specific (>2 species),"Phragmites australis, Spartina alterniflora, soil biota","P. australis lineages (invasive, native)",P. australis,P. australis lineages differ genetically,Populations,yes,Antagonistic to mutualistic,soil biota,invasion success,potential niche construction via soil biota,complex interaction of two plant species mediated via soil,,Yes,,,,,,,,
2/27/2020 2:21:23,MA217,KJB,Modelling/theory,Cooperative breeding,Intra-specific (within population),NA,Investment in offspring rearing,NA,No (but relatedness between individuals is considered as a factor affecting optimal investment),Individuals,"Somewhat, it shows different degrees of helper investment in offspring rearing.",Depends on what direction relatedness moves,social,Total number of offspring produced,"Somewhat, dominant and helpers fulfill different roles in the group. Also, individuals are expected to invest more or less depending on their relatedness (and the variation in relatedness in the group)",No,No,Maybe,There is no evidence of trait variation,,,,,,,
3/2/2020 6:03:29,MA184,RR,Review,Host-symbiont,Inter-specific (2 species),plants and the organisms interacting with it in differet ways,NA,NA,NA,not applicable,"no, the study only describes about different types of interactions between plant hosts and other organisms , by providing the definitions and examples",NA,NA,NA,No,no,no,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction, the review just focus on different types of interactions with plants as definitions and examples",,,,,,,
3/2/2020 6:51:57,MA265,RR,Review,Host-symbiont,Inter-specific (2 species),NA,NA,NA,NA,NA,"No, it just states a hypothesis about origins of bacterial mutualisims that mutualists would have come about from parasitic ancestors that have evolved to be less harmful over time to the point that beneficial interactions could evolve with hosts and that this could occur with the evolutionary shifts from horizontal to vertical transmissions. But it is not well tested and proved by the kind of analysis in the review because of sparse sampling size. also there is very little evidence to support the idea that cheaters evolve within bacterial mutualist populations and drive transitions from mutualism to parasitism in the context of evolutionary breakdown of mutualisms over time.",hypotheses are mentioned about transitions in both directions but not backed up with enough evidence or proofs,it is hypothesized that evolutionary shift from horizontal to vertical tranmissions can lead to evolution of mutualists fro parasitic relations (not properly proved) . Also it is hypothesized that Evolution of cheaters could lead to mutualism breakdown by transition from mutualism to parasitism but no enough evidence.,NA,NA,No,No,Maybe,"There is no evidence of trait variation, only hypotheses are given without enough evidences",,,,,,,
3/2/2020 8:36:57,MA242,JK,Observational,Host-symbiont,Inter-specific (>2 species),Porifera and symbionts,Microbial abundance influences  metabolic diversity,Porifera (div. species),no,NA (no shift),no,NA (no shift),NA (no shift),microbe abundance influence host niches,"yes, because metabolic niches are changed (however, the variation is between host species)",NA,no shift; multiple host species,No,There is no shift in the quality of the interaction,,,,,,,
3/2/2020 8:57:24,MA291,JK,Experimental,"Host-symbiont, Competition-cooperation",Inter-specific (>2 species),"native grass Poa alsodes, invasive grass Microstegium vimineum, fungal endophyte Neotyphodium sp.",presence of fungal symbiont influences competition between P. alsodes and M. vimineum,P. alsodes,no,NA (no shift),no,NA (no shift),NA,presence of fungal endophyte in native grass influence invasion success of competing invasive grass ,maybe (symbiont influence niche of host),NA,no shift (interactions remain mutualistic and competitive),No,There is no shift in the quality of the interaction,,,,,,,
3/2/2020 9:25:16,MA298,JK,Observational,Host-symbiont,Inter-specific (2 species),Fopius arisanus; endogenous Nudivirus,benefits for the parasitoid in host infection have led to endogenisation of the virus,"the study deals with phylogenetic patterns, so there is no variation any more","yes, study mainly describes the genetic basis",Species,"over long evolutionary timescales, the antagonism has evolved to mutualism",Antagonistic to mutualistic,ability to infect hosts,impact on host-parasite interaction,"virus integration has changed host niches; however, on a macroevol. time scale",NA,not sure we want to consider phylogenetic processes?,Maybe,There is no evidence of trait variation,,,,,,,
3/2/2020 9:38:16,MA299,JK,Observational,Host-symbiont,Inter-specific (>2 species),"cowbird Molothrus after, several host species",(quality/status of) host for cowbird,hosts and cowbird (host choice and egg resources),no,NA (no shift),no,NA (no shift),NA (no shift),NA,niche choice by cowbird,NA,no shift in interaction,No,There is no shift in the quality of the interaction,,,,,,,
3/2/2020 9:47:21,MA393,JK,Modelling/theory,Plant-Pollinator,Inter-specific (>2 species),plants and pollinators (no specific species),NA,NA,no,NA (no shift),no,NA (no shift),NA (no shift),NA,no,NA,no fit with our topic; model on disease transmission in pollinator network,No,There is no shift in the quality of the interaction,,,,,,,
3/3/2020 20:21:28,MA316,MW,Observational,Competition-cooperation,Intra-specific (within population),"Iberian newt, Lissotriton boscai",Body size is the focal trait. But the paper focuses on the causes rather than the consequences of body size variation.,Iberian newt,"Partially plastic, partially heritable.",,no,,NA,NA,"Yes, promotion of variation in traits relative to density.",The results indicate that population density and levels of intraspecific competition explain variation in body size between populations. But they do not look at the consequences of body size variation for competition/cooperation. ,No shift.,No,There is no shift in the quality of the interaction,,,,,,,
3/3/2020 20:36:22,MA215,MW,Review,"Male-female, Competition-cooperation",Intra-specific (within population),Focus on various ungulate species,"Discusses various traits, but most relevant is male competitive ability and attractiveness ",ungulates,"Not much discussed, but mentions good-genes benefits of female mate choice.","Individuals, Populations","Yes, discusses cases where male-female, male-male, or female-female interactions are competitive or cooperative.",Depends,"e.g. resource dispersion, predation risk",NA,"Relation to variation in mating strategies within species, social niches.","Important insights: ""Variation in male competitive ability promotes female choosiness, which can enhance sexual conflicts with non-preferred males but promote cooperation with preferred males."" Formation of leks represents cooperation within and between sexes. The shift between conflict and cooperation is mostly between individuals, but one can also argue that the evolution of lekking represents a shift of the whole population.",NA,Yes,,,,,,,,
3/3/2020 21:12:44,MA384,MW,Observational,Competition-cooperation,Intra-specific (within population),"banded mongoose, Mungos mungo","Hypothesized that contribution to reproduction would influence investment in cooperation, but did not find evidence for this.",banded mongoose,not discussed,Individuals,"Individuals differ in how much they cooperate (contribute to baby-sitting and escorting), but the causes for this variation remain unclear.",,Unclear,NA,maintenance of different social niches,NA,They cannot confirm the hypothesis that variation in reproductive opportunities drives variation in cooperation. So the causes for variation in cooperation remain unclear.,No,No clear link between variation in cooperation and another trait.,,,,,,,
3/3/2020 22:13:12,MA401,MW,Observational,Competition-cooperation,Intra-specific (within population),"banded mongoose, Mungos mungo",sensitivity to fluctuations in rainfall (and thus food availability),"banded mongoose, they focus on variation between the sexes; females are more sensitive to variation in rainfall than males","not discussed, variation between the sexes","Individuals, Social groups","yes, with increasing variation in rainfall, males (at least older males) become more cooperative",Antagonistic to mutualistic,Variability in rainfall,Probably overall higher survival of pups in the group,Variation in social niche,"Variability in rainfall reduces female survival more than male survival, leading to more male-biased groups. Older males in such groups then increase their investment into cooperation, i.e. baby-sitting and escorting.",The variation here is between males and females. Is this individualised enough?,Yes,,,,,,,,
3/14/2020 3:28:06,MA310,RR,Review,Host-symbiont,Inter-specific (2 species),"Yucca-yucca moth, fig-figwasps and legume-rhizobium mutualism",NA,"NA, It broadly discuss that host plants impose selection for cooperative traits but doesnot discuss about variation in these particular traits",NA,NA,"no shift in mutualism- antagonism but says about cheaters in these mutualisms and if cheaters and sanctions coevolve in these mutualisms , but very little evidence for this",NA,NA,NA,NA,no,no,Maybe,"There is no evidence of trait variation, There is no shift in the quality of the interaction, paper tries to see if cheaters and sanctions coevolve in mutualisms",,,,,,,
3/14/2020 18:39:12,MA110,LKL,Review,Host-symbiont,Inter-specific (2 species),mites and insect host (various degree of sociality),"development of acarinaria which is ""pocket-like structures that are externally located on insects (particularly hymenopterans) to facilitate mite transportation"". However, the paper mostly focus on factors like developmental stage, ecological characteristics (habitat & social organisation)",NA,NA,Species,Yes,Antagonistic to mutualistic,"ecological, social",NA,Maybe,,Traits that vary between species,No,"The trait varies between species, not within-species",,,,,,,
3/15/2020 2:17:53,MA235,CF,Observational,"Competition-cooperation, between group competition",Intra-specific (between populations),"vervet monkey, Chlorocebus aethiops",number of infants in group,Chlorocebus aethiops,no,,no,,"mating season, presence of infants, dominance status and likelihood to father offspring",none,no,likelihood to engage in aggressive interactions or not was studied,no clear shift in mutualism and antagonism,No,,,,,,,,
3/16/2020 2:49:43,MA381,RR,Review,Host-symbiont,Inter-specific (>2 species),NA,"it is not describing about a trait, but about how the composition of coral symbiomes affects the ecological anfd functional significance of the scleractinian corals",NA,NA,not much information about the above study,discuss about a study says that possibly the mutualism between  coral and and Ostreobium sp. could shift between mutualism and antagonism because the mutualism is either limited to periods of increased light associated with bleaching of the coral tissues or is highly species or location specific. There is also evidence that evidence that the coral host may be provisioning the endolithic Ostreobium spp. with nutrients at other times. ,metioned that possible shift between mutualism and antagonism depending on environmental conditions,abiotic (environmental such as light or the location) ,carbon fixation (contribution to coral biology and integrity of ecosystem),Not clearly mentioned. It just mentions for the particular example of corals and Ostreobium spp. that the provision of mutualistic benefits CAN be location specific ,NO,NO,Maybe,"it mentions an example where there is just a possibility , but not shown with sufficient evidence that the interaction could shift between mutualism and antagonism.",,,,,,,
3/16/2020 10:01:05,MA47,JK,Review,div. plant-animal interactions,"Inter-specific (2 species), Inter-specific (>2 species)",div.,phenology,plants and interacting animals,mostly not,"Species, no shift",no,N.A.,N.A.,asynchrony leading to mismatch,individual variation is only briefly addressed in ch. 4,N.A.,"phenology could be an important aspect, where individuals. variation exists, and shifts could be possible; however, this is not addressed in the article",No,"The trait varies between species, not within-species",,,,,,,
3/24/2020 20:33:57,MA321,CF,Experimental,Male-female,Intra-specific (within population),"pea leafminer, Liriomyza huidobrensis",food availability,pea leafminer,no,Individuals,"potentially, the antagonism is not cleary defined here","Antagonistic to mutualistic, can actually potentially go in both direction, depending on starvation status of males","abiotic, food availability, but this is dependent on female behaviour, so partly also social","not mentioned but these leafminers feed by puncturing bean plants, so potential ecological impact","not clear, I would say barely",,"I think the individual level is not strictly carved out. They created starved and non-starved male groups, if that is enought, then maybe the individuality criterium is covered",Yes,,,,,,,,
3/26/2020 19:45:36,MA188,CF,Experimental,Aggression towards intruders,"Inter-specific (2 species), and intraspecific, they had both types of intruders","Main species cichlid fish, Neolamprologus pulcher, heterospecific intruder Altolamprologus compressiceps",size of the resident fish pair on agressive bouts towards the intruder,Neolamprologus pulcher,No,Individuals,no  just in degree of aggressive interactions towards the intruder,,"they measures individual size of the resident pair and cortisol level, so mainly social",None as far as I can tell,"I guess little connection, more territory defense and brood defense",NA,No,Maybe,There is no shift in the quality of the interaction,,,,,,,
3/26/2020 19:51:33,MA138,CF,Review,"Competition-cooperation, less cooperation, more group level aggression",Intra-specific (between populations),several as this is a review on primates,"they mainly considered resource levels, sex and rank",NA,NA,,NA,,I guess the topics considered fall under all three,NA,"Towards the end of the review, they focus on individual level based analysis, so there might be some interesting information, otherwise there is rank and dominance status, which might be of interest",,again it is about the participation in and level of intergroup aggression,Maybe,,,,,,,,
3/26/2020 22:03:46,MA200,CF,"Observational, combined with mathematical modelling of the data",Male-female,Intra-specific (within population),"Penduline tit, Remiz pendulinus","behaviour, condition, attractiveness",R. pendulinus,No,Individuals,kind of,can take on both directions,"mostly social, but also ecological",none as far as I can tell,Yes it seems,this is about parental care and the individuals decision to desert or care for a clutch of eggs,NA,Yes,,,,,,,,
3/28/2020 21:35:46,MA 14,CF,Observational,Male-female,Intra-specific (within population),"Apostlebird, Struthidea cinerea",call types,S. cinerea,No,NA,No,NA,NA,NA,"Not really, paper demonstrates that (and which) call confer information about the individuals contain ","Guess, interesting paper when mechanisms of communicating individuality to your peer group are in need of examples",No,Maybe,"There is no shift in the quality of the interaction, Well, quality of interactions was not assessed in that article",,,,,,,
3/28/2020 21:40:53,MA 271,CF,Review,Male-female,Intra-specific (within population),Review of parental care in mostly mammals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was actually a chapter, so I only had access to the first two pages. It seems the chapter was concered with the shift in cooperation and conflict though in parental care. I guess we could ask Fritz Trillmich for a copy of the chapter, but hard to say how much individuality there is in that chapter as it sounded like a species-level comparison to me. ",Maybe,Full-text not accessible/not in English or German,,,,,,,
3/29/2020 1:51:33,MA 395,CF,Observational,Group interactions,Intra-specific (within population),"yellow-bellied marmots, Marmota  flaviventer ",different types of affiliative or agonistic interactions,M. flaviventer,No,Individuals,"it looks at both types or interactions, but not a shift",no direction specified,"unclear, mostly social I guess",NA,"they recored individual behaviour for social network analysis, but do not particularly consider individual differences, so only spurious connection to the NC3",,"They are not such much interested in individual variation and its causes as in network structure, i.e. balance and transitivity",Maybe,There is no evidence of trait variation,,,,,,,
3/29/2020 1:57:57,MA 331,CF,Observational,"Group structure, social network",Intra-specific (within population),"yellow-bellied marmots, Marmota flaviventris",social interactions,M. flaviventris,No,Individuals,"affiliative and antagonistic interactions are recorded, but not the shift",No direct shifts observed,"not specified, mostly social I would guess",NA,"They look at the shift in interactions quality with age, sex and kinship, but less due to individual qualities beyond that",Variation in the behavioural traits are not really analysed here,"While individual differences are recorded they are fed into network analysis and shift in interaction quality are analysed due to age, sex and kinship and less so due to individual differences",Maybe,There is no evidence of trait variation,,,,,,,
