abstract.id,sort.id,FulltextReviewer.initial,title,author,short_citation,StudyType,StudyType_Processed,TaskforceAllocation,Scale,What.is.the.scale.of.the.shift,Scale_Processed,FulltextTopicIdentifier,InteractionType,InteractionType_Processed,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,SpeciesInteracting,Species_Processed,TraitDescription,SpeciesTraitVariation,GeneticNotes,Trait_Processed,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Shift_Processed,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes,used in main text?,WOS,SCO
MA403,79,MW,Variation and the response to variation as a basis for successful cooperation,"McNamara, J.M. and Leimar, O.","(McNamara and Leimar, 2010)","Modelling/theory, Review",Modelling/theory,Modelling,Intra-specific (within population),Populations,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,Philosophical Transactions of the Royal Society B: Biological Sciences,365,1553,2627-2633,2010,10.1098/rstb.2010.0159,43862.97294,MW,NA,NA,"aspects of personality (e.g. trustworthyness, or more specifically number of rounds before defection in an iterated prisoner's dilemma), but also other needs and abilities of individuals",NA,NA,NA,yes,can be both depending on the direction of parameter change,e.g. mutation rate,NA,,"Interesting thought that ""variation in one trait maintains the variation in the other, and vice versa""","Relevant insights: 1) If there is a lot of variation (e.g. due to mutation) in the number of rounds before defection in the iterated prisoner's dilemma, it can make sense for individuals to cooperate for longer than the population average and cooperativeness increases in the population. 2) Variation in partner quality can promote the evolution of choosiness, which penalizes less cooperative individuals and thus promotes cooperation. 3) In fighting situations, costly displays can be seen as cooperative because they help resolve the fight and reduce its costs. Such displays can only evolve if there is sufficient variation in strength among individuals.",NA,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA373,80,MW,The evolution of cooperative turn-taking in animal conflict,"Franz, M. and Van Der Post, D. and Schlke, O. and Ostner, J.","(Franz et al., 2011)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Populations,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,BMC Evolutionary Biology,11,1,NA,2011,10.1186/1471-2148-11-323,43891.01807,MW,NA,NA,"strength, i.e. fighting ability",NA,assumed non-heritable,NA,"There should be a shift with changing magnitude of variation in strength, although they don't explore this explicitly (see comment below).",depends,"value of the resource that the fight is about, group size",NA,,NA,"Over a range of parameter values, there are alternative stable states (turn-taking and contest competition). Shifts here could also be caused by stochastic processes and initial conditions.","Individual strength is drawn from a uniform distribution between 0 and 1. They do not explore different levels of variation. Therefore we can only indirectly infer the consequences of variation. Since they find that ""a decreasing ability to identify the stronger individual favours the evolutionary stability of the turn-taking strategy"", increasing variation in strength should hinder the evolution of turn-taking.",Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA376,81,PT,The forager's dilemma: Food sharing and food defense as risk-sensitive foraging options,"Dubois, F and Giraldeau, LA","(Dubois and Giraldeau, 2003)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,AMERICAN NATURALIST,162,6,768-779,2003,10.1086/379202,44105.13896,PT,n/a,NA,Foraging efficiency (p),All individuals,"No (and, somewhat weirdly, foraging efficiency seems to be assigned randomly!)",NA,Yes (though that depends on regarding the hawk-dove game as being between antagonists and mutualists).,"It's a model, so just depends on the values","Resource availability (and variability), level of competition. ",Just whether they compete for a found resource or not.,,Not a strong one; it's tenuous at best.,,"It's not clear to me that the trait (p) values really play a crucial role; they could vary betwene 0.49 and 0.51 and still get almost the same results, so far as I understand it; so arguably much more driven by external factors than the variability of traits.. (Also, I need to understand how p gets set -- seems random but the authors mention age & experience, which I don't understand yet.)",Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,
MA286,82,KJB,Policing and group cohesion when resources vary,"Frank, SA","(Frank, 1996)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,ANIMAL BEHAVIOUR,52,6,1163-1169,1996,10.1006/anbe.1996.0263,43923.03294,KJB,NA,NA,Degree of policing,NA,"No, but relatedness between individuals is taken as a covariate to explain the observed patterns.",NA,"Yes. (Particularly for group that have low relatedness, policing leads to less competition)",Antagonistic to mutualistic,"Trade-off between group productivity and the cost of policing, mediated by kinselection (relatedness)",NA,,"Yes, particularly in the case with fluctuating resources, different individuals are expected to have different strategies.",,"The paper uses different terminology, so it was hard to determine whether these processes are really relevant.",Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
non-systematic,83,NA,"Positive feedback and alternative stable states in inbreeding, cooperation, sex roles and other evolutionary processes. Philosophical Transactions of the Royal Society B: Biological Sciences, 367(1586), 211-221.","Lehtonen, J., & Kokko, H.","(Lehtonen and Kokko, 2012)",NA,Modelling/theory,NA,NA,NA,Intraspecific,,,Male-female,Philosophical Transactions of the Royal Society B: Biological Sciences,367,1586,211-221,2012,10.1098/rstb.2011.0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Modelling,y,y
MA284,84,KJB,Plant-animal mutualism in biological markets: Evolutionary and ecological dynamics driven by non-heritable phenotypic variance,"Song, Zhiyuan and Feldman, Marcus W.","(Song and Feldman, 2013)",Modelling/theory,Modelling/theory,Modelling,Inter-specific (2 species),Species,Interspecific,n/a,Mutualism (e.g. plant-pollinator),Consumer-resource/plant-animal,THEORETICAL POPULATION BIOLOGY,88,NA,20-30,2013,10.1016/j.tpb.2013.06.002,2/15/2020 6:34:15,KJB,NA,NA,animal choosiness and plant reward offer,Mainly plant reward offer (this is the trait variation that drives the effect),"Focus is on non-heritable variation (this is driving the shift, although there are also genotypic components to the trait value)",NA,Yes,Antagonistic to mutualistic,"Biological. Trait variation in reward system in plants, requires animals to be more choosy w.r.t. the plant the visit, which then leads to the plants evolving higher rewards (more mutualistic)",Population sizes of the species are also affected by the trait variation.,,"Somewhat, although separate niches do not develop.","Reminds me a bit of the Foster & Kokko (2006) paper, similar mechanisms are being described",No,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
non-systematic,85,NA,Cheating can stabilize cooperation in mutualisms,"Foster, K. R. and Kokko, H.","(Foster and Kokko, 2006)",NA,Modelling/theory,NA,NA,NA,Interspecific,,,Host-symbiont; Consumer-resource/plant-animal,Proceedings of the Royal Society of London. Series B: Biological Sciences,273,1598,2233-2239,2006,10.1098/rspb.2006.3571,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Modelling,y,y
MA252,86,KJB,"Mutualism, market effects and partner control","Johnstone, R. A. and Bshary, R.","(Johnstone & Bshary, 2008)",Modelling/theory,Modelling/theory,Modelling,Inter-specific (2 species),Populations,Interspecific,n/a,mutualism-exploitation,Host-symbiont,JOURNAL OF EVOLUTIONARY BIOLOGY,21,3,879-888,2008,10.1111/j.1420-9101.2008.01505.x,2/15/2020 9:06:36,KJB,focuses on cleaner and client systems,NA (based on cleaner-client fish),time until client terminates interaction and degree of cooperation by the cleaner,No real variation is explored,No,NA,"Yes, but it depends on the relative frequency of cleaners vs. clients, not on variation in their trait values",Less (abundance) of cleaners leads to greater exploitation and longer times until interactions are terminated,Risk of not finding a new cleaner again vs. the risk of being exploited by the current cleaner.,NA,,Not clearly.,"No variation within a population, comparisons are more across different hypothetical populations that are characterized by different densities.","No variation within a population, comparisons are more across different hypothetical populations that are characterized by different densities.",No,There is no evidence of trait variation,MW/NM,Include,,"Conflicting decision made [NM: I think it should be included, as it considers variation  between exploiters and victims of exploitation, in the context of mutualism, cooperation stability. MW: Ok to include if there really is some variation.[",Modelling,y,
MA78,87,PT,Cooperation and conflict in the evolution of multicellularity,"Michod, RE and Roze, D","(Michod and Roze, 2001)",Modelling/theory,Modelling/theory,Modelling,"Intra-specific (within population), Intra-specific (between populations)","Individuals, Populations",Inter- and Intraspecific,n/a,"Competition-cooperation, Multi-cellular vs single-cell",Competition-cooperation,HEREDITY,86,1,44013,2001,10.1046/j.1365-2540.2001.00808.x,43720.45385,PT,n/a,NA,"mutation rate, group size (N), propagule size",There's only really one species,No,NA,"Yes, sort of.  It's mainly about whether to be a single cell or have multi-cellularity though, so the antagonism is not refered to as such (but in a way could appear in the form of the PD game).",Antagonistic to mutualistic,Mainly mutation rate,Going to a multicellur organism (with group benefits that outweigh the benefit of operating alone).,,Not really -- unless you regard multicellularity as a type of social niche!,,n/a,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,
MA43,88,BC,Cheats as first propagules: A new hypothesis for the evolution of individuality during the transition from single cells to multicellularity,"Rainey, Paul B. and Kerr, Benjamin","(Rainey and Kerr, 2010)",Hypothesis - opinion paper,Modelling/theory,Intraspecific,Intra-specific (within population),clones? as we are talking about bacteria,Intraspecific,competition-cooperation,transition from single cells to multicellularity,Competition-cooperation,BIOESSAYS,32,10,872-880,2010,10.1002/bies.201000039,43750.77965,BC,Pseudomonas,Pseudomonas spp. (Gammaproteobacteria),"collective Behaviour , i.e. producing adhesive glue to form a mat",Pseudomonas,no,NA,no,"some cells are cheaters, some produce the adhesive glue to form a mat",not known,"mobility , i.e. once a mat (imobile form of Pseudomoas cells) is formed the cheaters have the chance to ""leave"" ",,"not sure, i tend to say no",,"This paper uses two published papers, which in case they are relevant should pop up themselves in our literature search. The individual cells do not shift in their interaction type. ",Maybe,"There is no shift in the quality of the interaction, if we assume a mutation as a shift than it might be suitable",NM,Include,,"Following reviewer reasoning, the mutuations are variability in genotypes that are associated with differing phenotypes and collective behaviour, interaction that varies is the level of cooperation or compeitiion between individual cells",Modelling,y,
MA334,89,MW,Social heterosis and the maintenance of genetic diversity,"Nonacs, P. and Kapheim, K.M.","(Nonacs and Kapheim, 2007)",Modelling/theory,Modelling/theory,Modelling,"Intra-specific (within population), Intra-specific (between populations)",Group/patch within a randomly mating population,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,Journal of Evolutionary Biology,20,6,2253-2265,2007,10.1111/j.1420-9101.2007.01418.x,11/29/2019 22:24:12,MW,,NA,"Model is not specific, but they mention several examples, e.g. skills, trophic polymorphisms, parasite resistance",,"assume fully heritable trait, single locus with two or more alleles",NA,"It is assumed that individuals in mixed groups (with 2 or more alleles) have increased fitness. Therefore, these mutualistic interactions are only present with intraspecific variation. Without it, there is just competition.","Mutualistic to antagonistic, Antagonistic to mutualistic","Group size, fitness differences","Population dynamics, interaction with other species (e.g. prey, parasites)",,social heterosis as a mechanism for the maintenance of genetic and trait variation,,,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA34,90,KJB,Bet hedging based cooperation can limit kin selection and form a basis for mutualism,"Uitdehaag, Joost C. M.","(Uitdehaag, 2011)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,JOURNAL OF THEORETICAL BIOLOGY,280,1,76-87,2011,10.1016/j.jtbi.2011.04.002,43923.28471,KJB,NA,NA,Variance in offspring number over time and covariance between types in offspring numbers,NA,Relatedness is used as a pre-set parameter that affects the outcome of the model.,NA,"Yes, otherwise competing types become mutualistic if they experience a 'good' environment at very different times.",Antagonistic to mutualistic,Competitive similarity,Potentially speciation,,The species generate each other's niche that they then have to stick to.,Somewhat similar to MA359,,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA371,91,KJB,The effects of behavioral plasticity and leadership on the predictions of optimal skew models,"Hamilton, Ian M.","(Hamilton, 2013)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,Group persistence,Competition-cooperation,BEHAVIORAL ECOLOGY,24,2,444-456,2013,10.1093/beheco/ars182,2/15/2020 7:14:52,KJB,NA,NA,model 1 : Share of group productivity allocated to partner and partner's threshold for group dissolution. Model 2: competitive ability of both partners,"The traits don't really vary (multiple trait values are being considered, but populations with multiple trait values in them at the same time are not)","No, although relatedness is taken as a parameter.",NA,Not in the sense that we are looking for. Group dissolution is discussed though as the outcome of an interaction.,Mutualistic to antagonistic,The willingness to share the group productivity.,unknown,,"Yes, in the sense that the paper distinguishes two types of individuals that play different roles (leaders and subordinates).",NA,No,No,There is no evidence of trait variation,MW/NM,Include,,"Conflicting decision made [NM: I think it may be included, as there is intraspecific variation (among groups) in trait values, and resulting changes in reproductive skew could be interpreted as variation in the cooperation-competition relationship between group members. MW: Agreed, and also at least for some of their models, they consider individual traits different from the population mean.]",Modelling,y,
MA370,92,NM,The effect of keystone individuals on collective outcomes can be mediated through interactions or behavioral persistence,"Pinter-Wollman, N. and Keiser, C.N. and Wollman, R. and Pruitt, J.N.","(Pinter-Wollman et al., 2016)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),"Individuals, Populations",Intraspecific,n/a,"Competition-cooperation, Cooperation (in prey attack)- Disease transfer",Competition-cooperation,American Naturalist,188,2,240-252,2016,10.1086/687235,1/22/2020 1:22:42,NM,NA (generalized social group. but based on group hunting social spider Stegodyphus dumicola),NA,"Social influence (keystone individual with a high degree of influence on the behavioural composition and/ collective behaviour of a group, in the study species this is a high boldness individual)",NA,Not stated in the paper,NA,"Yes, shows a trade-off between positive and negative outcomes of collective behaviour that is influenced by the presence of keystone (high boldness) individuals in the group","Mutualistic to antagonistic, Antagonistic to mutualistic, A trade-off between negative and positive collective outcome implies it moves in both directions.",The persistence of behaviours within the group; the degree of behavioural influence between group members; and patterns of interactions between group members,influences the costs and benefits of collective behaviours (terms collective outcomes),,shows factors influencing intraspecific social niches,,,Yes,,MW,Include,,Agree with reviewer decision,Modelling,,y
MA18,93,CM,Antagonistic evolution in an aposematic predator-prey signaling system,"Speed, Michael P. and Franks, Daniel W.","(Speed and Franks, 2014)",Modelling/theory,Modelling/theory,Interspecific,"Inter-specific (2 species), Intra-specific (within population)","Individuals, Populations",Inter- and Intraspecific,predator-prey,Consumer-resource/predator-prey,Consumer-resource/plant-animal,EVOLUTION,68,10,2996-3007,2014,10.1111/evo.12498,43781.1237,CM,NA,NA,"apperance and toxicity level of prey, which influences predator decision making",prey,locus and alleles assumed,NA,Yes,Mutualistic to antagonistic,toxicity and aposematic signaling of prey,environmental heterogeneity can drive evolutionary antagonism,,potentially,NA,NA,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA183,94,PT,Host-parasite dynamics lead to mixed cooperative games,"Stopka, Pavel and Johnson, Dominic D. P.","(Stopka and Johnson, 2012)",Modelling/theory,Modelling/theory,Modelling,"Inter-specific (2 species), Intra-specific (within population)",Not really; just about whether to cooperate or not,Intraspecific,n/a,Cooperation in removing parasites,Competition-cooperation,FOLIA ZOOLOGICA,61,43924,233-238,2012,10.25225/fozo.v61.i3.a7.2012,43811.8812,PT,n/a,NA,"Payoffs, which depend on parasite loads, efficiency of grooming and the mobility of parasites.","The host ... but it's not really that a trait varies.  It's more that all individuals use the same evolved settings, but then have different parasite loads, so may behave differently -- and this could lead to cooperation.",No,NA,"No, just cooperation really (although they address it in terms of the Prisoner's Dilemma)",,Ecological: parasite load changes the payoffs..,Alterations in parasite load,,I don't think so.,,"There's not really antagonism, it's more about whether to cooperate or not.  The difference in 'trait' comes about not through inherent differences in the individuals, but thier parasite loads.  The authors don't seem to know the literature well and pitch things a bit weirdly (e.g., having individuals cooperate with 50% probability in the first interaction, rather than that level evolving).  So, it's not great!",Maybe,See answer to Q16,NM,Include,,"Considered that variation in grooming behaviour influences the level of cooperation, where cooperation is discussed in the context of Prisoner's Dilemma (self-interested competition) (note: issues with the study may be addressed in the review)",Modelling,y,y
MA294,95,NM,Private benefits and metabolic conflicts shape the emergence of microbial interdependencies,"Estrela, S. and Morris, J.J. and Kerr, B.","(Estrela et al., 2016)",Modelling/theory,Modelling/theory,Modelling,"Inter-specific (2 species), Intra-specific (between populations)",Model refers to strains (so could apply  to populations inter- or intraspecifically interacting),Inter- and Intraspecific,n/a,interdependency of functions between organisms (something like cooperation),Competition-cooperation,Environmental Microbiology,18,5,1415-1427,2016,10.1111/1462-2920.13028,1/21/2020 22:22:02,NM,NA (designed on microbial interactions primarily),NA,"Leaky traits (i.e. generalized traits that provide benefits to other organisms, particularly chemical production) ",NA,"The degree of privatization of 'leaky functions', i.e. the level that the benefits of the function are isolation to the organism performing the function",NA,"Yes, high privatization leads to independent genotypes, low levels lead to some exploitation, intermediate levels lead to mutually interdependent genotypes ","Mutualistic to antagonistic, Antagonistic to mutualistic",the model directly manipulates the degree of function privatization,the degree of interdependency between interacting 'strains',,unclear,,,Yes,,MW,Include,,Agree with reviewer decision,Modelling,,y
